2026-03-10 14:07:12 - {'id': 10221, 'session_id': '192.168.137.187:53971_57.144.249.33:5222', 'timestamp': '2026-03-10T12:06:23.585042300Z', 'protocol': 'TCP', 'length': 66, 'src_ip': '192.168.137.187', 'dst_ip': '57.144.249.33', 'src_port': '53971', 'dst_port': '5222', 'seq_num': 364, 'ack_num': 122, 'tcp_payload_len': 0, 'tcp_flags': '0x0010', 'win_size': '2064'}
2026-03-10 14:07:12 - {'id': 10223, 'session_id': '192.168.137.187:53971_57.144.249.33:5222', 'timestamp': '2026-03-10T12:06:23.595816800Z', 'protocol': 'TCP', 'length': 111, 'src_ip': '192.168.137.187', 'dst_ip': '57.144.249.33', 'src_port': '53971', 'dst_port': '5222', 'seq_num': 419, 'ack_num': 122, 'tcp_payload_len': 45, 'tcp_flags': '0x0018', 'win_size': '2064'}
2026-03-10 14:07:12 - {'id': 10224, 'session_id': '192.168.137.187:53971_57.144.249.33:5222', 'timestamp': '2026-03-10T12:06:23.595816800Z', 'protocol': 'TCP', 'length': 412, 'src_ip': '192.168.137.187', 'dst_ip': '57.144.249.33', 'src_port': '53971', 'dst_port': '5222', 'seq_num': 464, 'ack_num': 122, 'tcp_payload_len': 346, 'tcp_flags': '0x0018', 'win_size': '2064'}
2026-03-10 14:07:12 - {'id': 10225, 'session_id': '192.168.137.187:53971_57.144.249.33:5222', 'timestamp': '2026-03-10T12:06:23.595816800Z', 'protocol': 'TCP', 'length': 107, 'src_ip': '192.168.137.187', 'dst_ip': '57.144.249.33', 'src_port': '53971', 'dst_port': '5222', 'seq_num': 810, 'ack_num': 122, 'tcp_payload_len': 41, 'tcp_flags': '0x0018', 'win_size': '2064'}
2026-03-10 14:07:12 - {'id': 10232, 'session_id': '192.168.137.187:53971_57.144.249.33:5222', 'timestamp': '2026-03-10T12:06:23.956560500Z', 'protocol': 'TCP', 'length': 66, 'src_ip': '192.168.137.187', 'dst_ip': '57.144.249.33', 'src_port': '53971', 'dst_port': '5222', 'seq_num': 851, 'ack_num': 920, 'tcp_payload_len': 0, 'tcp_flags': '0x0010', 'win_size': '2052'}
2026-03-10 14:07:12 - {'id': 10061, 'session_id': '192.168.137.187:64526_31.13.71.52:443', 'timestamp': '2026-03-10T12:06:19.689811800Z', 'protocol': 'TCP', 'length': 78, 'src_ip': '192.168.137.187', 'dst_ip': '31.13.71.52', 'src_port': '64526', 'dst_port': '443', 'seq_num': 0, 'ack_num': 0, 'tcp_payload_len': 0, 'tcp_flags': '0x00c2', 'win_size': '65535'}
2026-03-10 14:07:12 - {'id': 10063, 'session_id': '192.168.137.187:64526_31.13.71.52:443', 'timestamp': '2026-03-10T12:06:19.828853700Z', 'protocol': 'TCP', 'length': 54, 'src_ip': '192.168.137.187', 'dst_ip': '31.13.71.52', 'src_port': '64526', 'dst_port': '443', 'seq_num': 1, 'ack_num': 0, 'tcp_payload_len': 0, 'tcp_flags': '0x0004', 'win_size': '0'}
2026-03-10 14:07:12 - {'id': 10111, 'session_id': '192.168.137.187:64529_216.239.36.223:443', 'timestamp': '2026-03-10T12:06:20.826776800Z', 'protocol': 'TCP', 'length': 78, 'src_ip': '192.168.137.187', 'dst_ip': '216.239.36.223', 'src_port': '64529', 'dst_port': '443', 'seq_num': 0, 'ack_num': 0, 'tcp_payload_len': 0, 'tcp_flags': '0x00c2', 'win_size': '65535'}
2026-03-10 14:07:12 - {'id': 10113, 'session_id': '192.168.137.187:64529_216.239.36.223:443', 'timestamp': '2026-03-10T12:06:20.835579800Z', 'protocol': 'TCP', 'length': 66, 'src_ip': '192.168.137.187', 'dst_ip': '216.239.36.223', 'src_port': '64529', 'dst_port': '443', 'seq_num': 1, 'ack_num': 1, 'tcp_payload_len': 0, 'tcp_flags': '0x0010', 'win_size': '2065'}
2026-03-10 14:07:12 - {'id': 10115, 'session_id': '192.168.137.187:64529_216.239.36.223:443', 'timestamp': '2026-03-10T12:06:20.835579800Z', 'protocol': 'TCP.SEGMENTS', 'length': 260, 'src_ip': '192.168.137.187', 'dst_ip': '216.239.36.223', 'src_port': '64529', 'dst_port': '443', 'seq_num': 1349, 'ack_num': 1, 'tcp_payload_len': 194, 'tcp_flags': '0x0018', 'win_size': '2065'}
